My Account,,Homepage
My Wish List,,
Setting,,
You have no items in your shopping cart.,,
Quickview,,
About US,,
Contact Us,,
Terms & Conditions,,
Returns & Exchanges,,
Shipping & Delivery,,
Privacy Policy,,
Sort by,,Category page
You have no items in your wish list.,,
Privacy and Cookie Policy,,
View All,,
Sale Products,,
My Wish List,,
Go to Wish List,,
CMS PAGES,,Search result page
Your search returned no results.,,
We can't find categories matching the selection.,,
Search results for:,,
See All,,
Review,,Product page
Add Your Review,,
Size Guide,,
Delivery & Return,,
SKU,,
Details,,
More Information,,
Reviews,,
DELIVERY & RETURNS,,
Customer Reviews,,
Write Your Own Review,,
You're reviewing,,
Nickname,,
Review,,
Rezime,,
Submit Review,,
Go to Cart,,Minicart
Edit Item,,
UPDATE CART,,Product update page
Continue Shopping,,Cart page
Estimate Shipping and Tax,,
Enter your destination to get a shipping estimate.,,
Apply Discount Code,,
Order Total,,
Check Out with Multiple Addresses,,
Table Rate,,
Region,,
Enter discount code,,
Apply Discount,,
SHIPPING ADDRESS,,Checkout page
SHIPPING METHODS,,
Delivery Comment,,
PAYMENT METHODS,,
Zip/Postal Code,,
Region,,
Order Comment,,
Sign Up for Our Newsletter,,
Apply Discount,,
Enter discount code,,
One Step Checkout,,
We'll email you an order confirmation with details and tracking info.,,Success page
Your order number is:,,
Thank you for your purchase!,,
Continue Shopping,,
Customer Login,,Login page
Email Address,,
By using this form you agree with the storage and handling of your data by this website.,,
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.",,
Please type the letters and numbers below,,Forgot password
Enter your email..,,
You are signed out,,Sign out page
PERSONAL INFORMATION,,Create new account page
Create New Customer Account,,
Very Strong,,
Strong,,
Medium,,
Weak,,
Minimum length of this field must be equal or greater than 8 symbols. Leading and trailing spaces will be ignored.,,
Please enter a valid email address (Ex: johndoe@domain.com).,,
By using this form you agree with the storage and handling of your data by this website.,,
"Subscribe to our newsletters and don't miss new arrivals, the latest fashion updates and our promotions.",,Newsletter Popup
By using this form you agree with the storage and handling of your data by this website.,,
Don't show this popup again,,
SIGN UP NEWSLETTER,,
Subscribe,,
My Account,,My Account page
CONTACT INFORMATION,,
NEWSLETTERS,,
"You are subscribed to ""General Subscription"".",,
Change Password,,
Default Billing Address,,
Default Shipping Address,,
Account Navigation,,
Go to Wish List,,
My Orders,,
My Downloadable Products,,
My Wish List,,
Stored Payment Methods,,
My Product Reviews,,
Newsletter Subscriptions,,
GDPR,,
DATE,,
SHIP TO,,
STATUS,,
Reorder,,
Pending,,
Processing,,
Complete,,
Default Billing Address,,
Default Shipping Address,,
You have placed no orders.,,Order page
per page,,
ORDER #,,
ITEMS ORDERED,,Order View page
Back to My Orders,,
ORDER INFORMATION,,
Shipping Address,,
Billing Address,,
ORDER SHIPMENTS,,
Print All Shipments,,
Print Shipment,,
Track this shipment,,
INVOICES,,
Print All Invoices,,
Invoice,,
Print Invoice,,
Refunds,,
Closed,,
Print All Refunds,,
Print Refund,,
Refund,,
Shipping & Handling,,
You have not purchased any downloadable products yet.,,Downloadable page
Comment,,Wishlist page
Update Wish List,,
Remove Item,,
Share Wish List,,
Add All to Cart,,
CONTACT INFORMATION,,Address page
ADDRESS,,
State/Province,,
Default Shipping Address,,
Default Billing Address,,
You have no default billing address in your address book,,
Edit Account Information,,Edit Account Information page
Change Password,,
You have no stored payment methods.,,Stored Payment Methods page
Stored Payment Methods,,
You have submitted no reviews.,,Review page
My Product Reviews,,
Newsletter Subscription,,Newsletter Subscription page
GDPR,,GDPR page
DATA ACCESS,,
Erase Account,,
Submit,,
