Popup,Popup,module,MGS_AjaxCart
Flycart,Flycart,module,MGS_AjaxCart
Slide from right after adding to cart,Slide from right after adding to cart,module,MGS_AjaxCart
Add to Cart,Add to Cart,module,MGS_AjaxCart
Qty,Qty,module,MGS_AjaxCart
item,item,module,MGS_AjaxCart
items,items,module,MGS_AjaxCart
Cart Subtotal,Cart Subtotal,module,MGS_AjaxCart
View Cart,View Cart,module,MGS_AjaxCart
Proceed to Checkout,Proceed to Checkout,module,MGS_AjaxCart
Products you might like!,Products you might like!,module,MGS_AjaxCart
Category,Category,module,MGS_Ajaxlayernavigation
The attribute model is not defined.,The attribute model is not defined.,module,MGS_Ajaxlayernavigation
%1 - %2,%1 - %2,module,MGS_Ajaxlayernavigation
%1 and above,%1 and above,module,MGS_Ajaxlayernavigation
Now Shopping by,Now Shopping by,module,MGS_Ajaxlayernavigation
Clear All,Clear All,module,MGS_Ajaxlayernavigation
Shop By,Shop By,module,MGS_Ajaxlayernavigation
Shopping Options,Shopping Options,module,MGS_Ajaxlayernavigation
Quickview,Quickview,module,MGS_Aquickview
Crosssell Products,Crosssell Products,module,MGS_Aquickview
Related Products,Related Products,module,MGS_Aquickview
Upsell Products,Upsell Products,module,MGS_Aquickview
Check items to add to the cart or,Check items to add to the cart or,module,MGS_Aquickview
select all,select all,module,MGS_Aquickview
Add to Cart,Add to Cart,module,MGS_Aquickview
In stock,In stock,module,MGS_Aquickview
Out of stock,Out of stock,module,MGS_Aquickview
Add to Wish List,Add to Wish List,module,MGS_Aquickview
Add to Compare,Add to Compare,module,MGS_Aquickview
Hurry! Only %1 left in stock,Hurry! Only %1 left in stock,module,MGS_Aquickview
Days,Days,module,MGS_Aquickview
Hours,Hours,module,MGS_Aquickview
Mins,Mins,module,MGS_Aquickview
Secs,Secs,module,MGS_Aquickview
Manage Categories,Manage Categories,module,MGS_Blog
Add New Category,Add New Category,module,MGS_Blog
Back,Back,module,MGS_Blog
Save and Continue Edit,Save and Continue Edit,module,MGS_Blog
Edit Category '%1',Edit Category '%1',module,MGS_Blog
New New Category,New New Category,module,MGS_Blog
ID,ID,module,MGS_Blog
Title,Title,module,MGS_Blog
URL Key,URL Key,module,MGS_Blog
Store View,Store View,module,MGS_Blog
Status,Status,module,MGS_Blog
Enabled,Enabled,module,MGS_Blog
Disabled,Disabled,module,MGS_Blog
Action,Action,module,MGS_Blog
Edit,Edit,module,MGS_Blog
Delete,Delete,module,MGS_Blog
Are you sure?,Are you sure?,module,MGS_Blog
Change Status,Change Status,module,MGS_Blog
Save,Save,module,MGS_Blog
Manage Comments,Manage Comments,module,MGS_Blog
Add New Comment,Add New Comment,module,MGS_Blog
Name,Name,module,MGS_Blog
Approved,Approved,module,MGS_Blog
Unapproved,Unapproved,module,MGS_Blog
Approve,Approve,module,MGS_Blog
Manage Posts,Manage Posts,module,MGS_Blog
Add New Post,Add New Post,module,MGS_Blog
Edit Post '%1',Edit Post '%1',module,MGS_Blog
New New Post,New New Post,module,MGS_Blog
Thumbnail,Thumbnail,module,MGS_Blog
Home,Home,module,MGS_Blog
Go to Home Page,Go to Home Page,module,MGS_Blog
Tag '%1',Tag '%1',module,MGS_Blog
Blog,Blog,module,MGS_Blog
The category has been deleted.,The category has been deleted.,module,MGS_Blog
We can't find a category to delete.,We can't find a category to delete.,module,MGS_Blog
Edit Item,Edit Item,module,MGS_Blog
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.,module,MGS_Blog
A total of %1 record(s) have been disabled.,A total of %1 record(s) have been disabled.,module,MGS_Blog
A total of %1 record(s) have been enabled.,A total of %1 record(s) have been enabled.,module,MGS_Blog
Please select category(s).,Please select category(s).,module,MGS_Blog
Total of %1 category(s) were changed status.,Total of %1 category(s) were changed status.,module,MGS_Blog
Manage Category,Manage Category,module,MGS_Blog
You saved the Category.,You saved the Category.,module,MGS_Blog
Something went wrong while saving the category data. Please review the error log.,Something went wrong while saving the category data. Please review the error log.,module,MGS_Blog
The comment has been approved.,The comment has been approved.,module,MGS_Blog
We can't find a comment to approve.,We can't find a comment to approve.,module,MGS_Blog
The comment has been deleted.,The comment has been deleted.,module,MGS_Blog
We can't find a comment to delete.,We can't find a comment to delete.,module,MGS_Blog
Please select comment(s).,Please select comment(s).,module,MGS_Blog
Total of %1 comment(s) were changed status.,Total of %1 comment(s) were changed status.,module,MGS_Blog
The comment has been unapproved.,The comment has been unapproved.,module,MGS_Blog
We can't find a comment to unapprove.,We can't find a comment to unapprove.,module,MGS_Blog
The post has been deleted.,The post has been deleted.,module,MGS_Blog
We can't find a post to delete.,We can't find a post to delete.,module,MGS_Blog
This post no longer exists.,This post no longer exists.,module,MGS_Blog
Edit Post,Edit Post,module,MGS_Blog
Please select post(s).,Please select post(s).,module,MGS_Blog
Total of %1 post(s) were changed status.,Total of %1 post(s) were changed status.,module,MGS_Blog
You saved the post.,You saved the post.,module,MGS_Blog
Something went wrong while saving the post data. Please review the error log.,Something went wrong while saving the post data. Please review the error log.,module,MGS_Blog
You must be logged in to comment.,You must be logged in to comment.,module,MGS_Blog
Your comment has been submitted.,Your comment has been submitted.,module,MGS_Blog
Your comment has been submitted and is awaiting approval.,Your comment has been submitted and is awaiting approval.,module,MGS_Blog
Something went wrong while saving the file(s).,Something went wrong while saving the file(s).,module,MGS_Blog
File validation failed.,File validation failed.,module,MGS_Blog
File can not be saved to the destination folder.,File can not be saved to the destination folder.,module,MGS_Blog
Video,Video,module,MGS_Blog
Image,Image,module,MGS_Blog
URL Key for specified store already exists.,URL Key for specified store already exists.,module,MGS_Blog
-- Please Select --,-- Please Select --,module,MGS_Blog
Newest,Newest,module,MGS_Blog
Older,Older,module,MGS_Blog
1 column,1 column,module,MGS_Blog
2 columns left,2 columns left,module,MGS_Blog
2 columns right,2 columns right,module,MGS_Blog
3 columns,3 columns,module,MGS_Blog
Youtube,Youtube,module,MGS_Blog
Vimeo,Vimeo,module,MGS_Blog
Default Template,Default Template,module,MGS_Blog
Default,Default,module,MGS_Blog
Owl Carousel,Owl Carousel,module,MGS_Blog
Yes,Yes,module,MGS_Blog
No,No,module,MGS_Blog
All Store Views,All Store Views,module,MGS_Blog
"Delete ""${ $.$data.title }""","Delete ""${ $.$data.title }""",module,MGS_Blog
"Are you sure you wan't to delete ""${ $.$data.title }"" ?","Are you sure you wan't to delete ""${ $.$data.title }"" ?",module,MGS_Blog
Unapprove,Unapprove,module,MGS_Blog
Delete ${ $.$data.title },Delete ${ $.$data.title },module,MGS_Blog
Are you sure you wan't to delete a ${ $.$data.title } record?,Are you sure you wan't to delete a ${ $.$data.title } record?,module,MGS_Blog
Have no posts.,Have no posts.,module,MGS_Blog
Author: ,Author: ,module,MGS_Blog
%1,%1,module,MGS_Blog
Tag: ,Tag: ,module,MGS_Blog
 - , - ,module,MGS_Blog
%1 comment(s),%1 comment(s),module,MGS_Blog
Continue Reading,Continue Reading,module,MGS_Blog
By ,By ,module,MGS_Blog
Previous,Previous,module,MGS_Blog
Next,Next,module,MGS_Blog
Comments,Comments,module,MGS_Blog
Comment,Comment,module,MGS_Blog
* Required Fields,* Required Fields,module,MGS_Blog
Leave A Reply,Leave A Reply,module,MGS_Blog
Your email address will not be published. Required fields are marked,Your email address will not be published. Required fields are marked,module,MGS_Blog
Your comment,Your comment,module,MGS_Blog
Content,Content,module,MGS_Blog
Your name,Your name,module,MGS_Blog
Your email,Your email,module,MGS_Blog
Email,Email,module,MGS_Blog
Send Messeages,Send Messeages,module,MGS_Blog
You must be logged in to post a comment.,You must be logged in to post a comment.,module,MGS_Blog
Click here,Click here,module,MGS_Blog
to log in,to log in,module,MGS_Blog
Load More Comment,Load More Comment,module,MGS_Blog
Categories,Categories,module,MGS_Blog
Recent Posts,Recent Posts,module,MGS_Blog
Tags,Tags,module,MGS_Blog
Read More,Read More,module,MGS_Blog
There are no posts matching the selection.,There are no posts matching the selection.,module,MGS_Blog
Manage Brands,Manage Brands,module,MGS_Brand
Add New Brand,Add New Brand,module,MGS_Brand
Save and Continue Edit,Save and Continue Edit,module,MGS_Brand
Edit Brand '%1',Edit Brand '%1',module,MGS_Brand
New New Brand,New New Brand,module,MGS_Brand
Brand Information,Brand Information,module,MGS_Brand
General,General,module,MGS_Brand
Name,Name,module,MGS_Brand
URL Key,URL Key,module,MGS_Brand
Small Image,Small Image,module,MGS_Brand
Image,Image,module,MGS_Brand
Description,Description,module,MGS_Brand
Store View,Store View,module,MGS_Brand
Status,Status,module,MGS_Brand
Featured Brand,Featured Brand,module,MGS_Brand
Sort Order,Sort Order,module,MGS_Brand
Meta Information,Meta Information,module,MGS_Brand
Meta Keywords,Meta Keywords,module,MGS_Brand
Meta Description,Meta Description,module,MGS_Brand
Product ID,Product ID,module,MGS_Brand
Type,Type,module,MGS_Brand
Attribute Set,Attribute Set,module,MGS_Brand
Visibility,Visibility,module,MGS_Brand
SKU,SKU,module,MGS_Brand
Price,Price,module,MGS_Brand
Position,Position,module,MGS_Brand
Brand,Brand,module,MGS_Brand
Products,Products,module,MGS_Brand
Brand ID,Brand ID,module,MGS_Brand
Yes,Yes,module,MGS_Brand
No,No,module,MGS_Brand
Enabled,Enabled,module,MGS_Brand
Disabled,Disabled,module,MGS_Brand
Action,Action,module,MGS_Brand
Edit,Edit,module,MGS_Brand
Delete,Delete,module,MGS_Brand
Are you sure?,Are you sure?,module,MGS_Brand
Change Status,Change Status,module,MGS_Brand
Home,Home,module,MGS_Brand
Go to Home Page,Go to Home Page,module,MGS_Brand
Shop By Brand,Shop By Brand,module,MGS_Brand
The brand has been deleted.,The brand has been deleted.,module,MGS_Brand
We can't find a brand to delete.,We can't find a brand to delete.,module,MGS_Brand
This brand no longer exists.,This brand no longer exists.,module,MGS_Brand
Edit Brand,Edit Brand,module,MGS_Brand
A total of %1 record(s) have been deleted.,A total of %1 record(s) have been deleted.,module,MGS_Brand
A total of %1 record(s) have been disabled.,A total of %1 record(s) have been disabled.,module,MGS_Brand
A total of %1 record(s) have been enabled.,A total of %1 record(s) have been enabled.,module,MGS_Brand
Please select brand(s).,Please select brand(s).,module,MGS_Brand
Total of %1 brand(s) were changed status.,Total of %1 brand(s) were changed status.,module,MGS_Brand
The wrong brand is specified.,The wrong brand is specified.,module,MGS_Brand
Disallowed file type.,Disallowed file type.,module,MGS_Brand
You saved the brand.,You saved the brand.,module,MGS_Brand
Something went wrong while saving the brand data. Please review the error log.,Something went wrong while saving the brand data. Please review the error log.,module,MGS_Brand
2,2,module,MGS_Brand
3,3,module,MGS_Brand
4,4,module,MGS_Brand
5,5,module,MGS_Brand
6,6,module,MGS_Brand
7,7,module,MGS_Brand
8,8,module,MGS_Brand
Default,Default,module,MGS_Brand
Owl Carousel,Owl Carousel,module,MGS_Brand
Default Template,Default Template,module,MGS_Brand
1,1,module,MGS_Brand
1 column,1 column,module,MGS_Brand
2 columns left,2 columns left,module,MGS_Brand
2 columns right,2 columns right,module,MGS_Brand
3 columns,3 columns,module,MGS_Brand
All Store Views,All Store Views,module,MGS_Brand
Delete ${ $.$data.title },Delete ${ $.$data.title },module,MGS_Brand
Are you sure you wan't to delete a ${ $.$data.title } record?,Are you sure you wan't to delete a ${ $.$data.title } record?,module,MGS_Brand
Featured Brands,Featured Brands,module,MGS_Brand
%1 ,%1 ,module,MGS_Brand
Product,Product,module,MGS_Brand
Related Products By Brand,Related Products By Brand,module,MGS_Brand
Add to Cart,Add to Cart,module,MGS_Brand
In stock,In stock,module,MGS_Brand
Out of stock,Out of stock,module,MGS_Brand
Add to Wish List,Add to Wish List,module,MGS_Brand
Save,Save,module,MGS_Brand
Add to Compare,Add to Compare,module,MGS_Brand
Compare,Compare,module,MGS_Brand
Brands,Brands,module,MGS_Brand
View All,View All,module,MGS_Brand
Have no brands.,Have no brands.,module,MGS_Brand
