"Search for...","Pretraga","theme","frontend/Mgs/claue"
"My Account","Moj nalog","module","MGS_ThemeSettings"
"My Wish List","Moja lista želja","module","MGS_ThemeSettings"
"Setting","Podešavanja","module","Ebizmarts_MailChimp"
"Setting","Podešavanja","module","MGS_ExtraGallery"
"Setting","Podešavanja","module","MGS_Fbuilder"
"Setting","Podešavanja","module","MGS_InstantSearch"
"Setting","Podešavanja","module","MGS_Lookbook"
"Setting","Podešavanja","module","MGS_Mmegamenu"
"Setting","Podešavanja","module","MGS_Protabs"
"Setting","Podešavanja","module","MGS_ThemeSettings"
"Setting","Podešavanja","module","Smile_ElasticsuiteCore"
"Setting","Podešavanja","theme","frontend/Mgs/claue"
"You have no items in your shopping cart.","Nemate artikala u korpi za kupovinu.","theme","frontend/Mgs/claue"
"You have no items in your shopping cart.","Nemate artikala u korpi za kupovinu.","module","MGS_AjaxCart"
"Quickview","Brzi pogled","theme","frontend/Mgs/claue"
"Quickview","Brzi pogled","module","MGS_Aquickviewe"
"About US","O nama","theme","frontend/Mgs/claue"
"Contact Us","Kontaktirajte nas","theme","frontend/Mgs/claue"
"Contact Us","Kontaktirajte nas","module","MGS_ThemeSettings"
"Terms & Conditions","Uslovi korišćenja","theme","frontend/Mgs/claue"
"Returns & Exchanges","Povrati i zamene","theme","frontend/Mgs/claue"
"Shipping & Delivery","Slanje i isporuka","theme","frontend/Mgs/claue"
"Privacy Policy","Politika privatnosti","theme","frontend/Mgs/claue"
"Privacy Policy","Politika privatnosti","module","MGS_GDPR"
"Sort by","Sortiraj po","theme","frontend/Mgs/claue"
"Sort by","Sortiraj po","module","Smile_ElasticsuiteCore"
"You have no items in your wish list.","Nemate nijednu stavku na listi želja","theme","frontend/Mgs/claue"
"You have no items in your wish list.","Nemate nijednu stavku na listi želja","module","MGS_ThemeSettings"
"Privacy and Cookie Policy","Politika privatnosti i kolačića","theme","frontend/Mgs/claue"
"View All","Vidi sve","theme","frontend/Mgs/claue"
"View All","Vidi sve","module","MGS_Brand"
"Sale Products","Prodaja proizvoda","theme","frontend/Mgs/claue"
"Sale Products","Prodaja proizvoda","module","MGS_Fbuilder"
"My Wish List","Moja lista želja","theme","frontend/Mgs/claue"
"My Wish List","Moja lista želja","module","MGS_ThemeSettings"
"Go to Wish List","Idite na Listu želja","theme","frontend/Mgs/claue"
"CMS PAGES","CMS STRANICE","theme","frontend/Mgs/claue"
"CMS PAGES","CMS STRANICE","module","MGS_Fbuilder"
"CMS PAGES","CMS STRANICE","module","MGS_InstantSearch"
"Your search returned no results.","Vaša pretraga nije dala rezultate.","theme","frontend/Mgs/claue"
"Your search returned no results.","Vaša pretraga nije dala rezultate.","module","MGS_ThemeSettings"
"Your search returned no results.","Vaša pretraga nije dala rezultate.","module","MGS_InstantSearch"
"Your search returned no results.","Vaša pretraga nije dala rezultate.","module","Smile_ElasticsuiteCatalog"
"We can't find categories matching the selection.","Ne možemo da pronađemo kategorije koje odgovaraju izboru.","theme","frontend/Mgs/claue"
"Search results for:","Rezultati pretrage za:","theme","frontend/Mgs/claue"
"Search results for:","Rezultati pretrage za:","module","MGS_InstantSearch"
"See All","Vidi sve","theme","frontend/Mgs/claue"
"See All","Vidi sve","module","MGS_InstantSearch"
"Review","Pregled","theme","frontend/Mgs/claue"
"Review","Pregled","module","Ebizmarts_MailChimp"
"Review","Pregled","module","MGS_Blog"
"Review","Pregled","module","MGS_Fbuilder"
"Review","Pregled","module","MGS_InstantSearch"
"Review","Pregled","module","MGS_Mmegamenu"
"Review","Pregled","module","MGS_OSCheckout"
"Review","Pregled","module","MGS_Portfolio"
"Review","Pregled","module","MGS_ThemeSettings"
"Add Your Review","Dodajte svoj komentar","theme","frontend/Mgs/claue"
